id,nom,geo_point_2d,secteur,commune,adresse,type_dechet,horaires_ouverture,jours_ouverture,types_materiaux
997,verre aérien,"45.21446,5.78961",Nord-Est,Meylan,25 Rue de Chenevière / Impasse du Tramier (dans logette),verre,24h,tous les jours,verre
1035,verre aérien,"45.21677,5.79024",Nord-Est,Meylan,Chemin de Maupertuis / Chemin de l'Hermitage,verre,24h,tous les jours,verre
1337,verre aérien,"45.21235,5.79234",Nord-Est,Meylan,21/23 Allée des Frênes / Appart'City,verre,24h,tous les jours,verre
1006,verre aérien,"45.21719,5.80066",Nord-Est,Meylan,Avenue des Quatre Chemins / Cimetière du Gamond (sur parking),verre,24h,tous les jours,verre
992,verre aérien,"45.21127,5.78647",Nord-Est,Meylan,Chemin de Bérivière (Place des Tuileaux côté logette),verre,24h,tous les jours,verre
994,verre aérien,"45.21404,5.78583",Nord-Est,Meylan,Chemin de Bérivière / Allée de la Roselière (à côté logette),verre,24h,tous les jours,verre
995,verre aérien,"45.21278,5.7866",Nord-Est,Meylan,Chemin de Bérivière / Rue Père Cohard (côté n°3),verre,24h,tous les jours,verre
990,verre aérien,"45.20778,5.78501",Nord-Est,Meylan,Chemin des Prèles / Chemin des Sétérées du Dessous (dans logette à côté hôtel Kyriad),verre,24h,tous les jours,verre
1331,verre aérien,"45.20889,5.78458",Nord-Est,Meylan,10 Chemin des Prêles,verre,24h,tous les jours,verre
1332,verre aérien,"45.21063,5.78903",Nord-Est,Meylan,6 Chemin des Prés,verre,24h,tous les jours,verre
991,verre aérien,"45.21059,5.78324",Nord-Est,Meylan,Impasse des Verdiers,verre,24h,tous les jours,verre
3177,emballages aérien,"45.14997,5.72607",Sud,Echirolles,7 Rue des Tropiques / Sud Galaxie,emballages,24h,tous les jours,emballages
2039,collecte sélective enterré,"45.07338,5.73098",Grand-Sud,Champ sur Drac,Chemin du Boutey (face au n° 46),collecte sélective,24h,tous les jours,collecte sélective
1290,verre aérien,"45.20171,5.83371",Nord-Est,Domène,12-14 Avenue de la Gare / Rue des Alpes,verre,24h,tous les jours,verre
773,verre aérien,"45.17247,5.75653",Nord-Est,Saint Martin d'Hères,Avenue Potié / Rue Edmond Rostand (Parking devant Crèche Jeanne Labourbe) / Quartier Renaudie,verre,24h,tous les jours,verre
